"Record_number","Study_midyear","YearsOfData","Latitude","Longitude","Site2","Study_number","Elevation","Biome","Ecosystem_state","Ecosystem_type","Leaf_habit","MAT","MAP","Meas_method","Partition_method","Stage","Rs_annual","Site.match","Manipulation","Mean.Temp.","Mean.Precip.","Latitude2","SOC_stock","Ecosystem_type2","Outlier","soil_temperature","nearest_distance_km","soil_temp_years_used","delta.Mean.Temp.","delta.Mean.Precip.","delta.Mean.soil_temperature"
11479,2018.5,1,39.333,100.117,"39.333 100.117",15066,1374,"Subtropical","Natural","Deciduous Forest","Deciduous",7.6,117,"IRGA","","Aggrading",912.02,"39.333_100.117","None",3.21030303030303,91.9166666666667,39.333,11.1,"Deciduous Forest",0,12.1260747273763,4.12047788486674,2018,-1.86595862293589,-795.436215847904,0.00263122825426443
11480,2018.5,1,39.333,100.117,"39.333 100.117",15066,1374,"Subtropical","Natural","Wetland","Deciduous",7.6,117,"IRGA","","Aggrading",518.45,"39.333_100.117","None",3.21030303030303,91.9166666666667,39.333,11.1,"Wetland",0,12.1260747273763,4.12047788486674,2018,-1.86595862293589,-795.436215847904,0.00263122825426443
11481,2015.5,1,30.304,119.538,"30.304 119.538",15110,150,"Subtropical","Managed","Mixed Forest","Mixed",15.9,1854,"Gas Chromatography","","Aggrading",477.82,"30.304_119.538","None",5.96,NA,30.304,46.1,"Mixed Forest",0,16.1224278767904,4.24130404501418,2016,0.883738346761075,NA,3.99898437766836
11484,2016.5,1,30.304,119.538,"30.304 119.538",15110,150,"Subtropical","Managed","Mixed Forest","Mixed",15.9,1854,"Gas Chromatography","","Aggrading",403.76,"30.304_119.538","None",5.96,NA,30.304,46.1,"Mixed Forest",0,16.1224278767904,4.24130404501418,2016,0.883738346761075,NA,3.99898437766836
11487,2017.5,1,30.304,119.538,"30.304 119.538",15110,150,"Subtropical","Managed","Mixed Forest","Mixed",15.9,1854,"Gas Chromatography","","Aggrading",418.09,"30.304_119.538","None",5.96,NA,30.304,46.1,"Mixed Forest",0,16.0899419148763,4.24130404501418,2018,0.883738346761075,NA,3.96649841575426
11673,2008.5,NA,43.74216944,11.104,"43.74216944 11.104",15173,220,"Mediterranean","Natural","Evergreen Forest","Evergreen",14.8,764.3,"IRGA","","Mature",801.4515406,"43.74216944_11.104","None",NA,NA,43.74216944,63,"Evergreen Forest",0,13.3221603393555,4.70181858792632,2008,NA,NA,1.19871684023346
11686,2015.5,1,55.221,10.292,"55.221 10.292",13184,23,"Temperate","Managed","Wetland","Deciduous",8.8,808,"IRGA","","Mature",806,"55.221_10.292","None",3.04909090909091,NA,55.221,76.2,"Wetland",0,9.67695261637374,2.49441476087961,2016,-2.02717074414801,NA,-2.4464908827483
11704,2012.5,1,28.52,77.34,"28.52 77.34",15109,NA,"Tropical","Managed","Mixed Forest","Mixed",7.83666666666667,NA,"IRGA","","",2187.34,"28.52_77.34","None",7.83666666666667,NA,28.52,32.1,"Mixed Forest",0,26.4094965616862,4.9640709100131,2012,2.76040501342774,NA,14.2860530625642
11771,2013.5,1,41.03,122.28,"41.03 122.28",15010,NA,"Temperate","Natural","Wetland","Deciduous",8.3,612,"IRGA","","",385.6225,"41.03_122.28","None",3.08181818181818,NA,41.03,NA,"Wetland",0,11.8113774617513,4.00216191549408,2014,-1.99444347142075,NA,-0.312066037370736
11802,2017.5,2,32.11472222,114.0311111,"32.11472222 114.0311111",13138,215,"Temperate","Natural","Mixed Forest","Mixed",15.2,1063,"IRGA","","Aggrading",576.335,"32.11472222_114.0311111","None",6.63,NA,32.11472222,30.5,"Mixed Forest",0,16.836686706543,3.82047150001999,2018,1.55373834676108,NA,4.71324320742096
11806,2016.5,3,35.84278,14.56865,"35.84278 14.56865",13249,230,"Mediterranean","Natural","Shrubland","Deciduous",18.5,600,"IRGA","","Aggrading",345.887,"35.84278_14.56865","None",6.07416666666667,270,35.84278,NA,"Shrubland",0,NA,NA,NA,0.997905013427745,-617.352882514571,NA
11807,2016.5,3,35.84372,14.56652,"35.84372 14.56652",13249,230,"Mediterranean","Unmanaged","Grassland","Deciduous",18.5,600,"IRGA","","Aggrading",658.093,"35.84372_14.56652","None",6.07416666666667,270,35.84372,376,"Grassland",0,NA,NA,NA,0.997905013427745,-617.352882514571,NA
11808,2016.5,3,35.8417,14.5697,"35.8417 14.5697",13249,230,"Mediterranean","Unmanaged","Deciduous Forest","Deciduous",18.5,600,"IRGA","","Aggrading",1591.307,"35.8417_14.5697","None",6.07416666666667,NA,35.8417,NA,"Deciduous Forest",0,NA,NA,NA,0.997905013427745,NA,NA
11847,2010.5,2,45.4,127.667,"45.4 127.667",13282,400,"Temperate","Managed","Deciduous Forest","Deciduous",3.1,629,"IRGA","Exclusion","Mature",943.49,"45.4_127.667","None",1.83083333333333,469.833333333333,45.4,122.8,"Deciduous Forest",0,6.14197184244796,3.66299999966888,2010,-3.2454283199056,-417.519549181238,-5.98147165667408
11848,2010.5,2,45.4,127.667,"45.4 127.667",13282,400,"Temperate","Managed","Deciduous Forest","Deciduous",3.1,629,"IRGA","Exclusion","Mature",786.2,"45.4_127.667","None",1.83083333333333,469.833333333333,45.4,122.8,"Deciduous Forest",0,6.14197184244796,3.66299999966888,2010,-3.2454283199056,-417.519549181238,-5.98147165667408
11849,2010.5,2,45.4,127.667,"45.4 127.667",13282,400,"Temperate","Managed","Deciduous Forest","Deciduous",3.1,629,"IRGA","Exclusion","Mature",876.26,"45.4_127.667","None",1.83083333333333,469.833333333333,45.4,122.8,"Deciduous Forest",0,6.14197184244796,3.66299999966888,2010,-3.2454283199056,-417.519549181238,-5.98147165667408
11874,2008.5,1,33.467,112.425,"33.467 112.425",13381,1400,"Temperate","Managed","Deciduous Forest","Deciduous",15.1,900,"IRGA","","Mature",802.28,"33.467_112.425","None",5.29545454545455,629.583333333333,33.467,20.9,"Deciduous Forest",0,14.9461837768555,4.59545362310943,2008,0.219192892215625,-257.769549181238,2.82274027773346
11875,2008.5,1,33.467,112.425,"33.467 112.425",13381,1400,"Temperate","Unmanaged","Mixed Forest","Mixed",15.1,900,"IRGA","","Mature",760.65,"33.467_112.425","None",5.29545454545455,629.583333333333,33.467,20.9,"Mixed Forest",0,14.9461837768555,4.59545362310943,2008,0.219192892215625,-257.769549181238,2.82274027773346
11882,2014.5,1,26.318,117.606,"26.318 117.606",13370,300,"Subtropical","Managed","Evergreen Forest","Evergreen",19.1,1750,"Gas Chromatography","Mesh bag","Aggrading",529.8,"26.318_117.606","None",6.26916666666667,2574,26.318,40.4,"Evergreen Forest",0,18.8387212117513,2.10607692165738,2014,1.19290501342774,1686.64711748543,6.71527771262926
11884,2014.5,1,35.3261,-81.5932,"35.3261 -81.5932",13383,692,"","Managed","Evergreen Forest","Evergreen",25,1143,"IRGA","","Aggrading",760.65,"35.3261_-81.5932","None",12.3641666666667,1012.5,35.3261,45.6,"Evergreen Forest",0,NA,NA,NA,7.28790501342778,125.147117485429,NA
11887,2011,1,37.61666667,101.2,"37.61666667 101.2",13406,3200,"Alpine","Managed","Grassland","Deciduous",-1.7,638,"Gas Chromatography","","Mature",431.8,"37.61666667_101.2","None",0.765454545454545,NA,37.61666667,41.3,"Grassland",0,0.363013203938806,1.85000036987768,2011,-4.31080710778438,NA,-11.7604302951832
11897,2002.5,1,50.5321,11.3798,"50.5321 11.3798",13361,635,"Temperate","Managed","Grassland","Deciduous",14.4,783.708333333333,"IRGA","Comparison","Mature",1715.5,"50.5321_11.3798","None",3.06681818181818,783.708333333333,50.5321,376,"Grassland",1,8.36677449544271,4.2098862750638,2002,-2.00944347142074,-103.644549181238,-3.75666900367933
11899,2003.5,1,50.5321,11.3798,"50.5321 11.3798",13361,635,"Temperate","Managed","Grassland","Deciduous",13.8,783.708333333333,"IRGA","Comparison","Mature",1478.25,"50.5321_11.3798","None",3.06681818181818,783.708333333333,50.5321,376,"Grassland",0,7.76019948323568,4.2098862750638,2004,-2.00944347142074,-103.644549181238,-4.36324401588636
11940,2013,1,33.6,150.7,"-33.6 150.7",13997,NA,"Subtropical","Natural","Deciduous Forest","Deciduous",17,740,"IRGA","","Mature",1200,"-33.6_150.7","None",4.99628571428571,NA,-33.6,373,"Deciduous Forest",0,NA,NA,NA,-0.0799759389532149,NA,NA
11942,2014,1,33.6,150.7,"-33.6 150.7",13997,NA,"Subtropical","Natural","Deciduous Forest","Deciduous",17,740,"IRGA","","Mature",1040,"-33.6_150.7","None",4.99628571428571,NA,-33.6,373,"Deciduous Forest",0,NA,NA,NA,-0.0799759389532149,NA,NA
11944,2015,1,33.6,150.7,"-33.6 150.7",13997,NA,"Subtropical","Natural","Deciduous Forest","Deciduous",17,740,"IRGA","","Mature",1220,"-33.6_150.7","None",4.99628571428571,NA,-33.6,373,"Deciduous Forest",0,NA,NA,NA,-0.0799759389532149,NA,NA
11946,2015.5,1,8.9267,-79.623,"8.9267 -79.623",12262,NA,"Tropical","Natural","Evergreen Forest","Evergreen",26,1809,"IRGA","","Aggrading",2014.98,"8.9267_-79.623","None",8.52416666666667,NA,8.9267,NA,"Evergreen Forest",0,NA,NA,NA,3.44790501342774,NA,NA
11947,2015.5,1,8.9769,-79.564,"8.9769 -79.564",12262,NA,"Tropical","Natural","Evergreen Forest","Evergreen",26,1860,"IRGA","","Aggrading",2014.98,"8.9769_-79.564","None",8.52416666666667,NA,8.9769,NA,"Evergreen Forest",0,NA,NA,NA,3.44790501342774,NA,NA
11948,2015.5,1,8.9946,-79.543,"8.9946 -79.543",12262,NA,"Tropical","Natural","Evergreen Forest","Evergreen",26,1875,"IRGA","","Aggrading",2014.98,"8.9946_-79.543","None",8.52416666666667,NA,8.9946,NA,"Evergreen Forest",0,NA,NA,NA,3.44790501342774,NA,NA
11949,2015.5,1,9.0617,-79.639,"9.0617 -79.639",12262,NA,"Tropical","Natural","Evergreen Forest","Evergreen",26,2008,"IRGA","","Aggrading",2014.98,"9.0617_-79.639","None",8.52416666666667,NA,9.0617,NA,"Evergreen Forest",0,NA,NA,NA,3.44790501342774,NA,NA
11950,2015.5,1,9.0841,-79.663,"9.0841 -79.663",12262,NA,"Tropical","Natural","Evergreen Forest","Evergreen",26,2056,"IRGA","","Aggrading",2014.98,"9.0841_-79.663","None",8.52416666666667,NA,9.0841,NA,"Evergreen Forest",0,NA,NA,NA,3.44790501342774,NA,NA
11951,2015.5,1,9.0785,-79.799,"9.0785 -79.799",12262,NA,"Tropical","Natural","Evergreen Forest","Evergreen",26,2176,"IRGA","","Aggrading",2014.98,"9.0785_-79.799","None",8.52416666666667,NA,9.0785,NA,"Evergreen Forest",0,NA,NA,NA,3.44790501342774,NA,NA
